Organism,Limb_width,Limb_length,Observer
Cyanocitta stelleri,2.1065422473475337,8.334447969682515,Micaiah E
Cyanocitta stelleri,1.667685086838901,14.877877379767597,Micaiah E
Pipilo erythrophthalmus,4.935397777706385,6.011115345172584,Rachel D
Cyanocitta cristata,2.6800736747682095,6.958011905662715,Micaiah E
Cyanocitta cristata,3.403411923907697,11.554690899793059,Micaiah E
Turdus migratorius,1.4097776403650641,11.629592892713845,Chance G
Zenaida macroura,4.213815381750464,14.820769554935396,Chance G
Cyanocitta stelleri,4.494550625793636,11.094119721092284,Rachel D
Turdus migratorius,2.842889496125281,8.987045167014003,Rachel D
Cyanocitta stelleri,2.8248921763151884,13.507421310059726,Micaiah E
Pipilo erythrophthalmus,3.3390145152807236,6.526599996723235,Chance G
Zenaida macroura,4.503839256241918,9.031320861540735,Micaiah E
Zenaida macroura,4.952414453960955,9.891468309797347,Micaiah E
Pipilo erythrophthalmus,1.2260227147489786,6.553712754976004,Chance G
Cyanocitta cristata,3.933757660910487,13.71850592084229,Micaiah E
Turdus migratorius,3.856194286607206,9.140856273006648,Micaiah E
Cyanocitta cristata,2.400101739913225,13.345710607245564,Micaiah E
Cyanocitta cristata,2.927029924467206,10.097610829398036,Micaiah E
Zenaida macroura,1.6360292695462704,8.173406072892249,Micaiah E
Cyanocitta cristata,1.7800622079521418,9.962031156755984,Chance G
Pipilo erythrophthalmus,3.281981471925974,5.3911934630014,Micaiah E
Cyanocitta cristata,3.678925541229546,5.170813610311598,Rachel D
Cyanocitta stelleri,2.3968301927670836,9.05333223985508,Rachel D
Cyanocitta cristata,2.87948948610574,14.29043936310336,Rachel D
Turdus migratorius,2.0130070727318525,13.644253821112216,Chance G
Cyanocitta cristata,4.252423649653792,6.738489419221878,Rachel D
Zenaida macroura,3.939969938248396,11.616722287144512,Chance G
Cyanocitta cristata,3.728347558528185,7.005354126449674,Chance G
Cyanocitta stelleri,4.003278587944806,9.047215997707099,Rachel D
Turdus migratorius,3.9211610835045576,5.175785589963198,Rachel D
Zenaida macroura,4.935130576603115,6.9465561816468835,Chance G
Pipilo erythrophthalmus,1.5558774704113603,7.090261960402131,Micaiah E
Zenaida macroura,1.8397175930440426,14.311955315060914,Chance G
Cyanocitta stelleri,1.4951961748301983,9.821907172445208,Chance G
Turdus migratorius,3.551204727962613,6.292325507383794,Chance G
Pipilo erythrophthalmus,3.6108574718236923,8.849223032593727,Chance G
Pipilo erythrophthalmus,1.6262082485482097,7.2110785520635545,Micaiah E
Cyanocitta stelleri,1.7081527672708035,10.16348821343854,Rachel D
Turdus migratorius,2.2821234688162804,9.231976778246462,Chance G
Cyanocitta cristata,3.698305548168719,12.425881803501397,Rachel D
Zenaida macroura,1.1506029572337866,6.613921928219497,Rachel D
Zenaida macroura,1.9409966180101037,10.052674994803965,Micaiah E
Turdus migratorius,4.787120261229575,7.54449991742149,Rachel D
Cyanocitta stelleri,2.009421189315617,6.37900861678645,Rachel D
Cyanocitta cristata,2.3040898414328694,6.010905280709267,Rachel D
Zenaida macroura,4.370951347053051,11.653664463665336,Rachel D
Zenaida macroura,2.9904806539416313,8.491571822669357,Chance G
Cyanocitta stelleri,2.725417260080576,5.007194532081485,Chance G
Cyanocitta stelleri,1.3113435450941324,11.592226042412221,Rachel D
Cyanocitta cristata,3.1410956010222435,11.950657030101866,Rachel D
Turdus migratorius,2.232159435749054,8.166248397901654,Rachel D
Cyanocitta stelleri,3.9522682474926114,7.535065640695393,Chance G
Cyanocitta cristata,2.2294081104919314,9.069613988976926,Chance G
Cyanocitta cristata,4.592404171824455,11.55590389156714,Chance G
Zenaida macroura,1.8409575298428535,9.940439069177955,Rachel D
Zenaida macroura,1.6544764898717403,13.645802522078156,Chance G
Turdus migratorius,3.8331119222566485,6.257241507992148,Micaiah E
Cyanocitta cristata,4.968890648335218,11.122521362267435,Chance G
Cyanocitta cristata,2.0886642737314105,9.632825292646885,Rachel D
Zenaida macroura,1.6040313141420484,7.46971420943737,Rachel D
Zenaida macroura,1.8973324345424771,12.21727380529046,Micaiah E
Pipilo erythrophthalmus,2.0814133835956454,7.84413319081068,Micaiah E
Turdus migratorius,3.9086447469890118,11.227293969132006,Chance G
Pipilo erythrophthalmus,4.084762207232416,10.275579036679119,Chance G
Turdus migratorius,4.883439390920103,13.687203095760196,Micaiah E
Turdus migratorius,3.9695910457521677,5.734760228078812,Micaiah E
Turdus migratorius,1.834749711677432,9.536188116762787,Chance G
